iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
iwd 3.12-1
jack2 1.9.22-2
jansson 2.15.0-1
jasper 4.2.9-1
jbig2dec 0.20-2
jbigkit 2.1-8
jemalloc 1:5.3.1-2
jq 1.8.1-3
js128 128.14.0-1
js140 140.10.0-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
jsonrpc-glib 3.44.2-1
jxrlib 1.3.2-1
kaccounts-integration 26.04.0-1
kactivitymanagerd 6.6.4-1
karchive 6.25.0-1
kauth 6.25.0-1
kbd 2.9.0-1
kbookmarks 6.25.0-1
kcmutils 6.25.0-1
kcodecs 6.25.0-1
kcolorscheme 6.25.0-1
kcompletion 6.25.0-1
kconfig 6.25.0-1
kconfigwidgets 6.25.0-1
kcoreaddons 6.25.0-1
kcrash 6.25.0-1
kdbusaddons 6.25.0-1
kddockwidgets 2.4.0-2
kde-cli-tools 6.6.4-1
kde-gtk-config 6.6.4-1
kdeclarative 6.25.0-1
kdecoration 6.6.4-1
kded 6.25.0-1
kdenlive 26.04.0-2
kdeplasma-addons 6.6.4-1
kdesu 6.25.0-1
kdnssd 6.25.0-1
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3
kernel-modules-hook 0.1.7-3
keyutils 1.6.3-4
kfilemetadata 6.25.0-1
kglobalaccel 6.25.0-1
kglobalacceld 6.6.4-1
kguiaddons 6.25.0-1
kholidays 1:6.25.0-1
ki18n 6.25.0-1
kiconthemes 6.25.0-1
kidletime 6.25.0-1
kimageformats 6.25.0-1
kinfocenter 6.6.4-1
kio 6.25.0-1
kio-extras 26.04.0-1
kio-fuse 5.1.1-1
kirigami 6.25.0-1
kirigami-addons 1.12.0-1
kitemmodels 6.25.0-1
kitemviews 6.25.0-1
kitty 0.46.2-1
kitty-shell-integration 0.46.2-1
kitty-terminfo 0.46.2-1
kjobwidgets 6.25.0-1
kmenuedit 6.6.4-1
kmod 34.2-1
knewstuff 6.25.0-1
knighttime 6.6.4-1
knotifications 6.25.0-1
knotifyconfig 6.25.0-1
kpackage 6.25.0-1
kparts 6.25.0-1
kpipewire 6.6.4-1
kpty 6.25.0-1
kquickcharts 6.25.0-1
kquickimageeditor 0.6.1-1
krb5 1.21.3-2
krdp 6.6.4-1
krunner 6.25.0-1
kscreen 6.6.4-1
kscreenlocker 6.6.4-1
kservice 6.25.0-1
ksshaskpass 6.6.4-1
kstatusnotifieritem 6.25.0-1
ksvg 6.25.0-1
ksystemstats 6.6.4-1
ktexteditor 6.25.0-1
ktextwidgets 6.25.0-1
kunitconversion 6.25.0-1
kuserfeedback 6.25.0-1
kvantum 1.1.6-1
kvantum-qt5 1.1.6-1
kwallet 6.25.0-1
kwallet-pam 6.6.4-1
kwayland 6.6.4-1
kwidgetsaddons 6.25.0-1
kwin 6.6.4-1
kwin-x11 6.6.4-1
kwindowsystem 6.25.0-1
kwrited 6.6.4-1
kxmlgui 6.25.0-1
l-smash 2.14.5-4
lame 3.101.r6531-1
lapack 3.12.1-2
layer-shell-qt 6.6.4-1
lazydocker 0.25.2-1
lazygit 0.61.1-1
lcms2 2.18-1
ldb 2:4.24.1-1
leancrypto 1.7.2-1
lensfun 1:0.3.4-6
less 1:692-1
lib32-alsa-lib 1.2.15.3-1
lib32-alsa-plugins 1.2.12-1
lib32-audit 4.1.4-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.19.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.7.5-1
lib32-flac 1.5.0-1
lib32-fontconfig 2:2.17.1-1
lib32-freetype2 2.14.3-1
lib32-gamemode 1.8.2-1
